  0.18  26.29 242.50
  0.19  26.31 242.42
  0.19  26.34 242.35
  0.19  26.37 242.28
  0.19  26.39 242.20
  0.19  26.42 242.13
  0.19  26.45 242.05
  0.19  26.48 241.98
  0.20  26.51 241.91
  0.20  26.54 241.83
  0.20  26.57 241.76
  0.20  26.59 241.69
  0.20  26.62 241.62
  0.20  26.65 241.54
  0.20  26.68 241.47
  0.20  26.71 241.40
  0.21  26.74 241.33
  0.21  26.77 241.26
  0.21  26.81 241.19
  0.21  26.84 241.12
  0.21  26.87 241.04
  0.21  26.90 240.97
  0.21  26.93 240.90
  0.21  26.96 240.83
  0.22  26.99 240.76
  0.22  27.03 240.69
  0.22  27.06 240.62
  0.22  27.09 240.55
  0.22  27.12 240.48
  0.22  27.16 240.42
  0.22  27.19 240.35
  0.22  27.22 240.28
  0.23  27.26 240.21
  0.23  27.29 240.14
  0.23  27.33 240.07
  0.23  27.36 240.00
  0.23  27.39 239.94
  0.23  27.43 239.87
  0.23  27.46 239.80
  0.24  27.50 239.73
  0.24  27.53 239.66
  0.24  27.57 239.60
  0.24  27.60 239.53
  0.24  27.64 239.46
  0.24  27.67 239.40
  0.24  27.71 239.33
  0.24  27.75 239.26
  0.25  27.78 239.20
  0.25  27.82 239.13
  0.25  27.85 239.06
  0.25  27.89 239.00
  0.25  27.93 238.93
  0.25  27.96 238.87
  0.25  28.00 238.80
  0.25  28.04 238.74
  0.26  28.07 238.67
  0.26  28.11 238.61
  0.26  28.15 238.54
  0.26  28.19 238.48
  0.26  28.22 238.41
  0.26  28.26 238.35
  0.26  28.30 238.28
  0.27  28.34 238.22
  0.27  28.38 238.15
  0.27  28.41 238.09
  0.27  28.45 238.02
  0.27  28.49 237.96
  0.27  28.53 237.90
  0.27  28.57 237.83
  0.27  28.61 237.77
  0.28  28.65 237.70
  0.28  28.68 237.64
  0.28  28.72 237.58
  0.28  28.76 237.51
  0.28  28.80 237.45
  0.28  28.84 237.39
  0.28  28.88 237.33
  0.28  28.92 237.26
  0.29  28.96 237.20
  0.29  29.00 237.14
  0.29  29.04 237.07
  0.29  29.08 237.01
  0.29  29.12 236.95
  0.29  29.16 236.89
  0.29  29.20 236.82
  0.30  29.24 236.76
  0.30  29.28 236.70
  0.30  29.32 236.64
  0.30  29.36 236.58
  0.30  29.40 236.51
  0.30  29.44 236.45
  0.30  29.48 236.39
  0.30  29.52 236.33
  0.31  29.56 236.27
  0.31  29.61 236.21
  0.31  29.65 236.15
  0.31  29.69 236.08
  0.31  29.73 236.02
  0.31  29.77 235.96
  0.31  29.81 235.90
  0.31  29.85 235.84
  0.32  29.89 235.78
  0.32  29.93 235.72
  0.32  29.98 235.66
  0.32  30.02 235.60
  0.32  30.06 235.54
  0.32  30.10 235.48
  0.32  30.14 235.42
  0.33  30.18 235.35
  0.33  30.23 235.29
  0.33  30.27 235.23
  0.33  30.31 235.17
  0.33  30.35 235.11
  0.33  30.39 235.05
  0.33  30.44 234.99
  0.33  30.48 234.93
  0.34  30.52 234.87
  0.34  30.56 234.81
  0.34  30.60 234.75
  0.34  30.65 234.69
  0.34  30.69 234.64
  0.34  30.73 234.58
  0.34  30.77 234.52
  0.34  30.81 234.46
  0.35  30.86 234.40
  0.35  30.90 234.34
  0.35  30.94 234.28
  0.35  30.98 234.23
  0.35  31.03 234.17
  0.35  31.07 234.11
  0.35  31.11 234.05
  0.36  31.15 234.00
  0.36  31.20 233.94
  0.36  31.24 233.89
  0.36  31.28 233.83
  0.36  31.32 233.78
  0.36  31.37 233.72
  0.36  31.41 233.67
  0.36  31.45 233.61
  0.37  31.50 233.56
  0.37  31.54 233.51
  0.37  31.58 233.45
  0.37  31.62 233.40
  0.37  31.67 233.35
  0.37  31.71 233.30
  0.37  31.75 233.24
  0.37  31.79 233.19
  0.38  31.84 233.14
  0.38  31.88 233.09
  0.38  31.92 233.04
  0.38  31.97 232.99
  0.38  32.01 232.94
  0.38  32.05 232.89
  0.38  32.09 232.84
  0.38  32.14 232.80
  0.39  32.18 232.75
  0.39  32.22 232.70
  0.39  32.27 232.65
  0.39  32.31 232.60
  0.39  32.35 232.56
  0.39  32.39 232.51
  0.39  32.44 232.46
  0.40  32.48 232.42
  0.40  32.52 232.37
  0.40  32.57 232.33
  0.40  32.61 232.28
  0.40  32.65 232.24
  0.40  32.69 232.19
  0.40  32.74 232.15
  0.40  32.78 232.10
  0.41  32.82 232.06
  0.41  32.87 232.01
  0.41  32.91 231.97
  0.41  32.95 231.93
  0.41  32.99 231.88
  0.41  33.04 231.84
  0.41  33.08 231.80
  0.41  33.12 231.76
  0.42  33.17 231.71
  0.42  33.21 231.67
  0.42  33.25 231.63
  0.42  33.29 231.59
  0.42  33.34 231.55
  0.42  33.38 231.51
  0.42  33.42 231.47
  0.43  33.46 231.43
  0.43  33.51 231.39
  0.43  33.55 231.34
  0.43  33.59 231.30
  0.43  33.64 231.26
  0.43  33.68 231.22
  0.43  33.72 231.19
  0.43  33.76 231.15
  0.44  33.81 231.11
  0.44  33.85 231.07
  0.44  33.89 231.03
  0.44  33.93 230.99
  0.44  33.98 230.95
  0.44  34.02 230.91
  0.44  34.06 230.87
  0.44  34.10 230.84
  0.45  34.15 230.80
  0.45  34.19 230.76
  0.45  34.23 230.72
  0.45  34.27 230.68
  0.45  34.32 230.65
  0.45  34.36 230.61
  0.45  34.40 230.57
  0.46  34.44 230.54
  0.46  34.49 230.50
  0.46  34.53 230.46
  0.46  34.57 230.43
  0.46  34.61 230.39
  0.46  34.66 230.35
  0.46  34.70 230.32
  0.46  34.74 230.28
  0.47  34.78 230.24
  0.47  34.82 230.21
  0.47  34.87 230.17
  0.47  34.91 230.14
  0.47  34.95 230.10
  0.47  34.99 230.07
  0.47  35.03 230.03
  0.47  35.08 229.99
  0.48  35.12 229.96
  0.48  35.16 229.92
  0.48  35.20 229.89
  0.48  35.24 229.85
  0.48  35.29 229.82
  0.48  35.33 229.79
  0.48  35.37 229.75
  0.49  35.41 229.72
  0.49  35.45 229.68
  0.49  35.50 229.65
  0.49  35.54 229.61
  0.49  35.58 229.58
  0.49  35.62 229.54
  0.49  35.66 229.51
  0.49  35.70 229.48
  0.50  35.75 229.44
  0.50  35.79 229.41
  0.50  35.83 229.37
  0.50  35.87 229.34
  0.50  35.91 229.31
  0.50  35.95 229.27
  0.50  35.99 229.24
  0.50  36.04 229.21
  0.51  36.08 229.17
  0.51  36.12 229.14
  0.51  36.16 229.11
  0.51  36.20 229.07
  0.51  36.24 229.04
  0.51  36.28 229.01
  0.51  36.33 228.98
